case_id,query,job_version_id,proposed_grade,reviewed_grade,reviewer,note
official-11-4,"Find roles focused on Helix AI Engineer, Reinforcement Learning",c1c05a8ba13a2926c42f725703c98fe23d061fca1b941341c82c68fd09fc1527,3,,,
official-11-5,岗位职责匹配：Design and implement reinforcement learning algorithms for embodied agents operating in real-world and simulated environments,c1c05a8ba13a2926c42f725703c98fe23d061fca1b941341c82c68fd09fc1527,3,,,
official-12-1,"Helix AI Engineer, Robot Learning",0a8ae0080aed861331479e76665c99325ed73c480103a34202fab31735988354,3,,,
official-12-2,"Design, train, evaluate, and deploy learning-based visuomotor policies for humanoid robot manipulation",0a8ae0080aed861331479e76665c99325ed73c480103a34202fab31735988354,3,,,
official-12-3,Hands-on experience developing and deploying robot learning systems on real robots,0a8ae0080aed861331479e76665c99325ed73c480103a34202fab31735988354,3,,,
official-12-4,"Find roles focused on Helix AI Engineer, Robot Learning",0a8ae0080aed861331479e76665c99325ed73c480103a34202fab31735988354,3,,,
official-12-5,"岗位职责匹配：Design, train, evaluate, and deploy learning-based visuomotor policies for humanoid robot manipulation",0a8ae0080aed861331479e76665c99325ed73c480103a34202fab31735988354,3,,,
official-13-1,"Helix AI Engineer, Training Performance",66a4c6d7e0904dd601e4054abef7eee96e6301da500323e2300ed9648b004074,3,,,
official-13-2,Optimize training performance for a 100B+ parameter models across 100k+ GPUs.,66a4c6d7e0904dd601e4054abef7eee96e6301da500323e2300ed9648b004074,3,,,
official-13-3,"Bachelor's or Master's degree in Computer Science, Computer/Electrical Engineering, or a related field",66a4c6d7e0904dd601e4054abef7eee96e6301da500323e2300ed9648b004074,3,,,
official-13-4,"Find roles focused on Helix AI Engineer, Training Performance",66a4c6d7e0904dd601e4054abef7eee96e6301da500323e2300ed9648b004074,3,,,
official-13-5,岗位职责匹配：Optimize training performance for a 100B+ parameter models across 100k+ GPUs.,66a4c6d7e0904dd601e4054abef7eee96e6301da500323e2300ed9648b004074,3,,,
official-14-1,"Helix AI Engineer, Video Pretraining",02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974,3,,,
official-14-2,Design and train large-scale video foundation models on diverse datasets spanning internet-scale video and robot-collected data,02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974,3,,,
official-14-3,Experience training large-scale models on video data or other high-dimensional sequential modalities,02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974,3,,,
official-14-4,"Find roles focused on Helix AI Engineer, Video Pretraining",02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974,3,,,
official-14-5,岗位职责匹配：Design and train large-scale video foundation models on diverse datasets spanning internet-scale video and robot-collected data,02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974,3,,,
official-15-1,Helix Data Creator,23731858c455419d59ce5792533ec8a179c6327cdadbcf49ea15e73c1c081bba,3,,,
official-15-2,Wear sensor equipment to guide the robot through human-like motions,23731858c455419d59ce5792533ec8a179c6327cdadbcf49ea15e73c1c081bba,3,,,
official-15-3,"Excellent physical coordination, spatial awareness, and focus",23731858c455419d59ce5792533ec8a179c6327cdadbcf49ea15e73c1c081bba,3,,,
official-15-4,Find roles focused on Helix Data Creator,23731858c455419d59ce5792533ec8a179c6327cdadbcf49ea15e73c1c081bba,3,,,
official-15-5,岗位职责匹配：Wear sensor equipment to guide the robot through human-like motions,23731858c455419d59ce5792533ec8a179c6327cdadbcf49ea15e73c1c081bba,3,,,
official-16-1,Helix Data Creator,1f9f2467de3e4708c9577641bda5d53235417f44365da66ec663e0915b9106e5,3,,,
official-16-2,"Data collection: Wear sensor suits to perform repetitive, precise physical movements (walking, lifting, reaching) that guide the robot and generate training data, for up to 8 hours per shift.",1f9f2467de3e4708c9577641bda5d53235417f44365da66ec663e0915b9106e5,3,,,
official-16-3,"Able to perform repetitive standing, walking, lifting, reaching, and full-range limb motions required for motion-capture across an 8+ hour shift",1f9f2467de3e4708c9577641bda5d53235417f44365da66ec663e0915b9106e5,3,,,
official-16-4,Find roles focused on Helix Data Creator,1f9f2467de3e4708c9577641bda5d53235417f44365da66ec663e0915b9106e5,3,,,
official-16-5,"岗位职责匹配：Data collection: Wear sensor suits to perform repetitive, precise physical movements (walking, lifting, reaching) that guide the robot and generate training data, for up to 8 hours per shift.",1f9f2467de3e4708c9577641bda5d53235417f44365da66ec663e0915b9106e5,3,,,
official-17-1,"Humanoid Robot Operator & Data Creator — Fontana, CA (Customer Site)",b77e6b3d7caede0bfbcf4d62df9841a707956651099051cf4de62dd3a2a3599e,3,,,
official-17-2,Ensure successful day-to-day operations of the robot(s) on the customer site,b77e6b3d7caede0bfbcf4d62df9841a707956651099051cf4de62dd3a2a3599e,3,,,
official-17-3,Willing and able to travel throughout the US,b77e6b3d7caede0bfbcf4d62df9841a707956651099051cf4de62dd3a2a3599e,3,,,
official-17-4,"Find roles focused on Humanoid Robot Operator & Data Creator — Fontana, CA (Customer Site)",b77e6b3d7caede0bfbcf4d62df9841a707956651099051cf4de62dd3a2a3599e,3,,,
official-17-5,岗位职责匹配：Ensure successful day-to-day operations of the robot(s) on the customer site,b77e6b3d7caede0bfbcf4d62df9841a707956651099051cf4de62dd3a2a3599e,3,,,
official-18-1,"Lead, Data Operations Global Expansion",c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17,3,,,
official-18-2,"Day one, you will own Figure’s data operations expansion: the strategy for where we go next and the team that gets us there. You’ll stand up new sites against volume, quality, and velocity targets, build the playbook that makes each launch faster than the last, and partner across engineering, product, and ops to make it happen. Specific responsibilities include:",c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17,3,,,
official-18-3,5-10 years in Operations roles at startups and/or global corporations,c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17,3,,,
official-18-4,"Find roles focused on Lead, Data Operations Global Expansion",c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17,3,,,
official-18-5,"岗位职责匹配：Day one, you will own Figure’s data operations expansion: the strategy for where we go next and the team that gets us there. You’ll stand up new sites against volume, quality, and velocity targets, build the playbook that makes each launch faster than the last, and partner across engineering, product, and ops to make it happen. Specific responsibilities include:",c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17,3,,,
official-19-1,Manufacturing Software Test Engineer,b703c687faa83dff0253c44ec411d68cccda459db840e29fef3ad4f403e84f08,3,,,
official-19-2,Implement improvements to our existing end of line automation software,b703c687faa83dff0253c44ec411d68cccda459db840e29fef3ad4f403e84f08,3,,,
official-19-3,5+ years of industry experience.,b703c687faa83dff0253c44ec411d68cccda459db840e29fef3ad4f403e84f08,3,,,
official-19-4,Find roles focused on Manufacturing Software Test Engineer,b703c687faa83dff0253c44ec411d68cccda459db840e29fef3ad4f403e84f08,3,,,
official-19-5,岗位职责匹配：Implement improvements to our existing end of line automation software,b703c687faa83dff0253c44ec411d68cccda459db840e29fef3ad4f403e84f08,3,,,
official-20-1,"Project Coordinator, Data Quality",5947300e1b20bb57f96311cc34e326bcc1ede855e9541ec6a204856612468417,3,,,
official-20-2,Own review guidelines and acceptance criteria for your project; handle escalated edge cases that fall outside existing guidance.,5947300e1b20bb57f96311cc34e326bcc1ede855e9541ec6a204856612468417,3,,,
official-20-3,"4+ years of experience in data quality, data labeling operations, or content/data review roles, with demonstrated ownership of a project or workstream end-to-end.",5947300e1b20bb57f96311cc34e326bcc1ede855e9541ec6a204856612468417,3,,,
official-20-4,"Find roles focused on Project Coordinator, Data Quality",5947300e1b20bb57f96311cc34e326bcc1ede855e9541ec6a204856612468417,3,,,
official-20-5,岗位职责匹配：Own review guidelines and acceptance criteria for your project; handle escalated edge cases that fall outside existing guidance.,5947300e1b20bb57f96311cc34e326bcc1ede855e9541ec6a204856612468417,3,,,
official-21-1,Reinforcement Learning Engineer – Whole Body Control,0ee9c05cd018d22c3efa9f1a4c05e212a812157fd1c750bcf313cefe6035baa7,3,,,
official-21-2,"Develop, train, and deploy reinforcement learning algorithms for whole body control",0ee9c05cd018d22c3efa9f1a4c05e212a812157fd1c750bcf313cefe6035baa7,3,,,
official-21-3,"Strong background in dynamics and control, ideally of legged robots",0ee9c05cd018d22c3efa9f1a4c05e212a812157fd1c750bcf313cefe6035baa7,3,,,
official-21-4,Find roles focused on Reinforcement Learning Engineer – Whole Body Control,0ee9c05cd018d22c3efa9f1a4c05e212a812157fd1c750bcf313cefe6035baa7,3,,,
official-21-5,"岗位职责匹配：Develop, train, and deploy reinforcement learning algorithms for whole body control",0ee9c05cd018d22c3efa9f1a4c05e212a812157fd1c750bcf313cefe6035baa7,3,,,
official-22-1,"Software Engineer, Manufacturing Systems",a348c6f5c005df2d721f2c06b4c51aa3c9caafade8e604315110fc5b4ed822b5,3,,,
official-22-2,Implement improvements to our existing suite of manufacturing software.,a348c6f5c005df2d721f2c06b4c51aa3c9caafade8e604315110fc5b4ed822b5,3,,,
official-22-3,4+ years of industry experience.,a348c6f5c005df2d721f2c06b4c51aa3c9caafade8e604315110fc5b4ed822b5,3,,,
official-22-4,"Find roles focused on Software Engineer, Manufacturing Systems",a348c6f5c005df2d721f2c06b4c51aa3c9caafade8e604315110fc5b4ed822b5,3,,,
official-22-5,岗位职责匹配：Implement improvements to our existing suite of manufacturing software.,a348c6f5c005df2d721f2c06b4c51aa3c9caafade8e604315110fc5b4ed822b5,3,,,
official-23-1,"Software Engineer, Privacy & Data Governance",3bf666c253c19894dbe27deb07d68ce3bd68efbe46903f1292a3806c56be640b,3,,,
official-23-2,Design and implement new technical features that embed privacy controls and data minimization techniques into our product and tech stack (privacy-by-design),3bf666c253c19894dbe27deb07d68ce3bd68efbe46903f1292a3806c56be640b,3,,,
official-23-3,"Experience in several of the following privacy and security domains: anonymization / de-identification, data retention and deletion, data lineage or governance, data protection fundamentals, data minimization privacy-by-design, privacy-preserving techniques",3bf666c253c19894dbe27deb07d68ce3bd68efbe46903f1292a3806c56be640b,3,,,
official-23-4,"Find roles focused on Software Engineer, Privacy & Data Governance",3bf666c253c19894dbe27deb07d68ce3bd68efbe46903f1292a3806c56be640b,3,,,
official-23-5,岗位职责匹配：Design and implement new technical features that embed privacy controls and data minimization techniques into our product and tech stack (privacy-by-design),3bf666c253c19894dbe27deb07d68ce3bd68efbe46903f1292a3806c56be640b,3,,,
official-24-1,State Estimation Engineer - Data Collection Systems,819b7ab25d3641d3878a4f6e2dea005077f29528535c8a8aec9f727d904ed3c6,3,,,
official-24-2,"Design and implement dual-tier state estimation algorithms in modern C++: low-latency, real-time filters for streaming teleoperation and batch optimization/smoothing routines for high-accuracy offline dataset generation.",819b7ab25d3641d3878a4f6e2dea005077f29528535c8a8aec9f727d904ed3c6,3,,,
official-24-3,Evaluate novel sensing modalities to inform future hardware designs.,819b7ab25d3641d3878a4f6e2dea005077f29528535c8a8aec9f727d904ed3c6,3,,,
official-24-4,Find roles focused on State Estimation Engineer - Data Collection Systems,819b7ab25d3641d3878a4f6e2dea005077f29528535c8a8aec9f727d904ed3c6,3,,,
official-24-5,"岗位职责匹配：Design and implement dual-tier state estimation algorithms in modern C++: low-latency, real-time filters for streaming teleoperation and batch optimization/smoothing routines for high-accuracy offline dataset generation.",819b7ab25d3641d3878a4f6e2dea005077f29528535c8a8aec9f727d904ed3c6,3,,,
official-25-1,"Associate General Counsel, Commercial",75607eba04e4875b1dd4b218186a8a81de822a26baa6964e95582795cf4f282e,3,,,
official-25-2,"GPU & AI Infrastructure: Lead high-stakes negotiations and procurement agreements for global data center capacity, GPU compute, and complex technology licenses.",75607eba04e4875b1dd4b218186a8a81de822a26baa6964e95582795cf4f282e,3,,,
official-25-3,Experience: 4-7+ years of relevant legal experience at a top-ranked law firm. A combination of law firm and in-house experience at a high-growth startup or tech leader is preferred.,75607eba04e4875b1dd4b218186a8a81de822a26baa6964e95582795cf4f282e,3,,,
official-25-4,"Find roles focused on Associate General Counsel, Commercial",75607eba04e4875b1dd4b218186a8a81de822a26baa6964e95582795cf4f282e,3,,,
official-25-5,"岗位职责匹配：GPU & AI Infrastructure: Lead high-stakes negotiations and procurement agreements for global data center capacity, GPU compute, and complex technology licenses.",75607eba04e4875b1dd4b218186a8a81de822a26baa6964e95582795cf4f282e,3,,,
official-26-1,Connector & Interconnect Design Engineer,186cda7db8c456bcf680e72f263bd4f0e8cda1ceb47984f0502a119b6cf30d67,3,,,
official-26-2,"Own 3D CAD modeling and 2D detailed drawings for custom connectors, overmolds, and electromechanical interfaces",186cda7db8c456bcf680e72f263bd4f0e8cda1ceb47984f0502a119b6cf30d67,3,,,
official-26-3,"Develop and execute validation test plans: mating cycles, pull-out force, vibration, thermal cycling, and environmental exposure",186cda7db8c456bcf680e72f263bd4f0e8cda1ceb47984f0502a119b6cf30d67,3,,,
official-26-4,Find roles focused on Connector & Interconnect Design Engineer,186cda7db8c456bcf680e72f263bd4f0e8cda1ceb47984f0502a119b6cf30d67,3,,,
official-26-5,"岗位职责匹配：Own 3D CAD modeling and 2D detailed drawings for custom connectors, overmolds, and electromechanical interfaces",186cda7db8c456bcf680e72f263bd4f0e8cda1ceb47984f0502a119b6cf30d67,3,,,
official-27-1,Demand Planner,2f0e3d2ed63dc83a4e3a6796d1e94a52d14431be5936849666e4872e9a0e5a73,3,,,
official-27-2,Aggregate Demand Forecasting & Modeling,2f0e3d2ed63dc83a4e3a6796d1e94a52d14431be5936849666e4872e9a0e5a73,3,,,
official-27-3,"Partner with Manufacturing and Quality to factor manufacturing yield losses, scrap rates, and destructive test requirements into the top-level demand signal.",2f0e3d2ed63dc83a4e3a6796d1e94a52d14431be5936849666e4872e9a0e5a73,3,,,
official-27-4,Find roles focused on Demand Planner,2f0e3d2ed63dc83a4e3a6796d1e94a52d14431be5936849666e4872e9a0e5a73,3,,,
official-27-5,岗位职责匹配：Aggregate Demand Forecasting & Modeling,2f0e3d2ed63dc83a4e3a6796d1e94a52d14431be5936849666e4872e9a0e5a73,3,,,
official-28-1,Deployment Engineer - Commercial Site Team,0510f179c62b00682e302dc68cd73707b475417d78001a1955e46bb5361b8242,3,,,
official-28-2,"Support engineering with deployment and development, serving as an on-site representative",0510f179c62b00682e302dc68cd73707b475417d78001a1955e46bb5361b8242,3,,,
official-28-3,"3-5+ years of work experience in automotive or industrial automation/robotics integration, deployment, and development",0510f179c62b00682e302dc68cd73707b475417d78001a1955e46bb5361b8242,3,,,
official-28-4,Find roles focused on Deployment Engineer - Commercial Site Team,0510f179c62b00682e302dc68cd73707b475417d78001a1955e46bb5361b8242,3,,,
official-28-5,"岗位职责匹配：Support engineering with deployment and development, serving as an on-site representative",0510f179c62b00682e302dc68cd73707b475417d78001a1955e46bb5361b8242,3,,,
official-29-1,Deployment Engineer - Commercial Site Team,7e180bb84925d86b67a37d44448c9e76ee9559555a0a794046a80088ba50abbe,3,,,
official-29-2,"Support engineering with deployment and development, serving as an on-site representative",7e180bb84925d86b67a37d44448c9e76ee9559555a0a794046a80088ba50abbe,3,,,
official-29-3,"3-5+ years of work experience in automotive or industrial automation/robotics integration, deployment, and development",7e180bb84925d86b67a37d44448c9e76ee9559555a0a794046a80088ba50abbe,3,,,
official-29-4,Find roles focused on Deployment Engineer - Commercial Site Team,7e180bb84925d86b67a37d44448c9e76ee9559555a0a794046a80088ba50abbe,3,,,
official-29-5,"岗位职责匹配：Support engineering with deployment and development, serving as an on-site representative",7e180bb84925d86b67a37d44448c9e76ee9559555a0a794046a80088ba50abbe,3,,,
official-30-1,Deployment Logistics Lead,a39440f627d72dfbfc52ba5e4663f2857cfc04e4e8a0f1497e74d63990542df0,3,,,
official-30-2,"Design and stand up our warehouse and inventory strategy for tracking data collection equipment, data collection props, robot equipment, service parts, tooling, and more.",a39440f627d72dfbfc52ba5e4663f2857cfc04e4e8a0f1497e74d63990542df0,3,,,
official-30-3,"6-8+ years in logistics, shipping, warehouse/inventory operations, asset management, or field operations, with a track record of building or scaling a function",a39440f627d72dfbfc52ba5e4663f2857cfc04e4e8a0f1497e74d63990542df0,3,,,
official-30-4,Find roles focused on Deployment Logistics Lead,a39440f627d72dfbfc52ba5e4663f2857cfc04e4e8a0f1497e74d63990542df0,3,,,
official-30-5,"岗位职责匹配：Design and stand up our warehouse and inventory strategy for tracking data collection equipment, data collection props, robot equipment, service parts, tooling, and more.",a39440f627d72dfbfc52ba5e4663f2857cfc04e4e8a0f1497e74d63990542df0,3,,,
