case_id,query,draft_relevance,lexical_top_5,dense_top_5,hybrid_top_5,hybrid-rerank_top_5,mrr_delta,ndcg_at_10_delta,reviewed_labels,reviewer,notes,draft_positive_titles,lexical_top_5_titles,dense_top_5_titles,hybrid_top_5_titles,hybrid-rerank_top_5_titles
official-06-4,"Find roles focused on Helix AI Engineer, Generative AI","{""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"": 3}","[""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""0a59a8a5defd9d4d8667a85f36f511c6a9d787070af1f561d8de7060399ebb0c"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""66a4c6d7e0904dd601e4054abef7eee96e6301da500323e2300ed9648b004074""]","[""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""0a8ae0080aed861331479e76665c99325ed73c480103a34202fab31735988354"", ""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"", ""c1c05a8ba13a2926c42f725703c98fe23d061fca1b941341c82c68fd09fc1527""]","[""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""c1c05a8ba13a2926c42f725703c98fe23d061fca1b941341c82c68fd09fc1527"", ""66a4c6d7e0904dd601e4054abef7eee96e6301da500323e2300ed9648b004074""]","[""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""0a59a8a5defd9d4d8667a85f36f511c6a9d787070af1f561d8de7060399ebb0c"", ""c1c05a8ba13a2926c42f725703c98fe23d061fca1b941341c82c68fd09fc1527"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448""]",0.0,0.0,,,,"Helix AI Engineer, Generative AI","Helix AI Engineer, Generative AI | Helix AI Engineer, Data Infrastructure | Helix AI Engineer, Pretraining | Helix AI Engineer, Modeling | Helix AI Engineer, Training Performance","Helix AI Engineer, Generative AI | Helix AI Engineer, Modeling | Helix AI Engineer, Robot Learning | Helix AI Engineer, Localization and Mapping | Helix AI Engineer, Reinforcement Learning","Helix AI Engineer, Generative AI | Helix AI Engineer, Modeling | Helix AI Engineer, Pretraining | Helix AI Engineer, Reinforcement Learning | Helix AI Engineer, Training Performance","Helix AI Engineer, Generative AI | Helix AI Engineer, Modeling | Helix AI Engineer, Data Infrastructure | Helix AI Engineer, Reinforcement Learning | Helix AI Engineer, Pretraining"
official-06-5,"岗位职责匹配：Design, train, and deploy large-scale generative models, with a focus on diffusion-based approaches for vision, video, and multimodal data","{""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"": 3}","[""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""c1c05a8ba13a2926c42f725703c98fe23d061fca1b941341c82c68fd09fc1527""]","[""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974"", ""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""e06e31c66b7ffa4e84f45cff09e46a9f58c4828c0a53239e6022a8011e6731c7""]","[""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""66a4c6d7e0904dd601e4054abef7eee96e6301da500323e2300ed9648b004074""]","[""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""0a8ae0080aed861331479e76665c99325ed73c480103a34202fab31735988354""]",0.0,0.0,,,,"Helix AI Engineer, Generative AI","Helix AI Engineer, Generative AI | Helix AI Engineer, Video Pretraining | Helix AI Engineer, Pretraining | Helix AI Engineer, Modeling | Helix AI Engineer, Reinforcement Learning","Helix AI Engineer, Generative AI | Helix AI Engineer, Video Pretraining | Helix AI Engineer, Modeling | Helix AI Engineer, Pretraining | Deployment Engineer (Data Collection)","Helix AI Engineer, Generative AI | Helix AI Engineer, Video Pretraining | Helix AI Engineer, Pretraining | Helix AI Engineer, Modeling | Helix AI Engineer, Training Performance","Helix AI Engineer, Generative AI | Helix AI Engineer, Video Pretraining | Helix AI Engineer, Pretraining | Helix AI Engineer, Modeling | Helix AI Engineer, Robot Learning"
official-07-1,"Helix AI Engineer, Localization and Mapping","{""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"": 3}","[""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"", ""3cff0238e9827ea8937e6bcbb0a6cc3e2cc5e5ea7ba7597bacb353d3de745bbe"", ""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958""]","[""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"", ""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""0a8ae0080aed861331479e76665c99325ed73c480103a34202fab31735988354"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958""]","[""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"", ""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""3cff0238e9827ea8937e6bcbb0a6cc3e2cc5e5ea7ba7597bacb353d3de745bbe"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958""]","[""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"", ""3cff0238e9827ea8937e6bcbb0a6cc3e2cc5e5ea7ba7597bacb353d3de745bbe"", ""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""0a8ae0080aed861331479e76665c99325ed73c480103a34202fab31735988354""]",0.0,0.0,,,,"Helix AI Engineer, Localization and Mapping","Helix AI Engineer, Localization and Mapping | Helix AI Engineer, Perception | Helix AI Engineer, Modeling | Helix AI Engineer, Pretraining | Helix AI Engineer, Generative AI","Helix AI Engineer, Localization and Mapping | Helix AI Engineer, Modeling | Helix AI Engineer, Robot Learning | Helix AI Engineer, Pretraining | Helix AI Engineer, Generative AI","Helix AI Engineer, Localization and Mapping | Helix AI Engineer, Modeling | Helix AI Engineer, Pretraining | Helix AI Engineer, Perception | Helix AI Engineer, Generative AI","Helix AI Engineer, Localization and Mapping | Helix AI Engineer, Perception | Helix AI Engineer, Modeling | Helix AI Engineer, Pretraining | Helix AI Engineer, Robot Learning"
official-07-2,"Architect and implement real-time localization, ego-motion tracking, and state estimation systems by fusing multi-modal sensor data (cameras, IMUs, encoders, magnetic sensors).","{""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"": 3}","[""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"", ""819b7ab25d3641d3878a4f6e2dea005077f29528535c8a8aec9f727d904ed3c6"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""1f9f2467de3e4708c9577641bda5d53235417f44365da66ec663e0915b9106e5"", ""b703c687faa83dff0253c44ec411d68cccda459db840e29fef3ad4f403e84f08""]","[""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"", ""819b7ab25d3641d3878a4f6e2dea005077f29528535c8a8aec9f727d904ed3c6"", ""372b8d981e9a118724699820ec99464d3cef1b5afecb3504bd5984e0d20cf86e"", ""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""2f0e3d2ed63dc83a4e3a6796d1e94a52d14431be5936849666e4872e9a0e5a73""]","[""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"", ""819b7ab25d3641d3878a4f6e2dea005077f29528535c8a8aec9f727d904ed3c6"", ""c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17"", ""02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974"", ""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc""]","[""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"", ""819b7ab25d3641d3878a4f6e2dea005077f29528535c8a8aec9f727d904ed3c6"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""3cff0238e9827ea8937e6bcbb0a6cc3e2cc5e5ea7ba7597bacb353d3de745bbe"", ""0a59a8a5defd9d4d8667a85f36f511c6a9d787070af1f561d8de7060399ebb0c""]",0.0,0.0,,,,"Helix AI Engineer, Localization and Mapping","Helix AI Engineer, Localization and Mapping | State Estimation Engineer - Data Collection Systems | Helix AI Engineer, Generative AI | Helix Data Creator | Manufacturing Software Test Engineer","Helix AI Engineer, Localization and Mapping | State Estimation Engineer - Data Collection Systems | AI Training Infrastructure Engineer – Humanoid Whole Body Control | Helix AI Engineer, Modeling | Demand Planner","Helix AI Engineer, Localization and Mapping | State Estimation Engineer - Data Collection Systems | Lead, Data Operations Global Expansion | Helix AI Engineer, Video Pretraining | Helix AI Engineer, Modeling","Helix AI Engineer, Localization and Mapping | State Estimation Engineer - Data Collection Systems | Helix AI Engineer, Pretraining | Helix AI Engineer, Perception | Helix AI Engineer, Data Infrastructure"
official-07-3,Deep technical expertise in solving complex estimation and nonlinear optimization problems.,"{""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"": 3}","[""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"", ""819b7ab25d3641d3878a4f6e2dea005077f29528535c8a8aec9f727d904ed3c6"", ""3cff0238e9827ea8937e6bcbb0a6cc3e2cc5e5ea7ba7597bacb353d3de745bbe"", ""c1c05a8ba13a2926c42f725703c98fe23d061fca1b941341c82c68fd09fc1527"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448""]","[""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"", ""819b7ab25d3641d3878a4f6e2dea005077f29528535c8a8aec9f727d904ed3c6"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""c1c05a8ba13a2926c42f725703c98fe23d061fca1b941341c82c68fd09fc1527""]","[""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"", ""819b7ab25d3641d3878a4f6e2dea005077f29528535c8a8aec9f727d904ed3c6"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""c1c05a8ba13a2926c42f725703c98fe23d061fca1b941341c82c68fd09fc1527"", ""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc""]","[""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"", ""819b7ab25d3641d3878a4f6e2dea005077f29528535c8a8aec9f727d904ed3c6"", ""3cff0238e9827ea8937e6bcbb0a6cc3e2cc5e5ea7ba7597bacb353d3de745bbe"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""c1c05a8ba13a2926c42f725703c98fe23d061fca1b941341c82c68fd09fc1527""]",0.0,0.0,,,,"Helix AI Engineer, Localization and Mapping","Helix AI Engineer, Localization and Mapping | State Estimation Engineer - Data Collection Systems | Helix AI Engineer, Perception | Helix AI Engineer, Reinforcement Learning | Helix AI Engineer, Pretraining","Helix AI Engineer, Localization and Mapping | State Estimation Engineer - Data Collection Systems | Helix AI Engineer, Pretraining | Helix AI Engineer, Modeling | Helix AI Engineer, Reinforcement Learning","Helix AI Engineer, Localization and Mapping | State Estimation Engineer - Data Collection Systems | Helix AI Engineer, Pretraining | Helix AI Engineer, Reinforcement Learning | Helix AI Engineer, Modeling","Helix AI Engineer, Localization and Mapping | State Estimation Engineer - Data Collection Systems | Helix AI Engineer, Perception | Helix AI Engineer, Pretraining | Helix AI Engineer, Reinforcement Learning"
official-07-4,"Find roles focused on Helix AI Engineer, Localization and Mapping","{""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"": 3}","[""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"", ""0a59a8a5defd9d4d8667a85f36f511c6a9d787070af1f561d8de7060399ebb0c"", ""3cff0238e9827ea8937e6bcbb0a6cc3e2cc5e5ea7ba7597bacb353d3de745bbe"", ""66a4c6d7e0904dd601e4054abef7eee96e6301da500323e2300ed9648b004074"", ""23731858c455419d59ce5792533ec8a179c6327cdadbcf49ea15e73c1c081bba""]","[""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"", ""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""0a8ae0080aed861331479e76665c99325ed73c480103a34202fab31735988354"", ""c1c05a8ba13a2926c42f725703c98fe23d061fca1b941341c82c68fd09fc1527"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448""]","[""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"", ""66a4c6d7e0904dd601e4054abef7eee96e6301da500323e2300ed9648b004074"", ""0a59a8a5defd9d4d8667a85f36f511c6a9d787070af1f561d8de7060399ebb0c"", ""3cff0238e9827ea8937e6bcbb0a6cc3e2cc5e5ea7ba7597bacb353d3de745bbe"", ""23731858c455419d59ce5792533ec8a179c6327cdadbcf49ea15e73c1c081bba""]","[""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"", ""0a59a8a5defd9d4d8667a85f36f511c6a9d787070af1f561d8de7060399ebb0c"", ""3cff0238e9827ea8937e6bcbb0a6cc3e2cc5e5ea7ba7597bacb353d3de745bbe"", ""66a4c6d7e0904dd601e4054abef7eee96e6301da500323e2300ed9648b004074"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958""]",0.0,0.0,,,,"Helix AI Engineer, Localization and Mapping","Helix AI Engineer, Localization and Mapping | Helix AI Engineer, Data Infrastructure | Helix AI Engineer, Perception | Helix AI Engineer, Training Performance | Helix Data Creator","Helix AI Engineer, Localization and Mapping | Helix AI Engineer, Modeling | Helix AI Engineer, Robot Learning | Helix AI Engineer, Reinforcement Learning | Helix AI Engineer, Pretraining","Helix AI Engineer, Localization and Mapping | Helix AI Engineer, Training Performance | Helix AI Engineer, Data Infrastructure | Helix AI Engineer, Perception | Helix Data Creator","Helix AI Engineer, Localization and Mapping | Helix AI Engineer, Data Infrastructure | Helix AI Engineer, Perception | Helix AI Engineer, Training Performance | Helix AI Engineer, Generative AI"
official-07-5,"岗位职责匹配：Architect and implement real-time localization, ego-motion tracking, and state estimation systems by fusing multi-modal sensor data (cameras, IMUs, encoders, magnetic sensors).","{""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"": 3}","[""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"", ""819b7ab25d3641d3878a4f6e2dea005077f29528535c8a8aec9f727d904ed3c6"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""1f9f2467de3e4708c9577641bda5d53235417f44365da66ec663e0915b9106e5"", ""b703c687faa83dff0253c44ec411d68cccda459db840e29fef3ad4f403e84f08""]","[""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"", ""819b7ab25d3641d3878a4f6e2dea005077f29528535c8a8aec9f727d904ed3c6"", ""372b8d981e9a118724699820ec99464d3cef1b5afecb3504bd5984e0d20cf86e"", ""2f0e3d2ed63dc83a4e3a6796d1e94a52d14431be5936849666e4872e9a0e5a73"", ""186cda7db8c456bcf680e72f263bd4f0e8cda1ceb47984f0502a119b6cf30d67""]","[""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"", ""819b7ab25d3641d3878a4f6e2dea005077f29528535c8a8aec9f727d904ed3c6"", ""1f9f2467de3e4708c9577641bda5d53235417f44365da66ec663e0915b9106e5"", ""c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17"", ""3bf666c253c19894dbe27deb07d68ce3bd68efbe46903f1292a3806c56be640b""]","[""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"", ""819b7ab25d3641d3878a4f6e2dea005077f29528535c8a8aec9f727d904ed3c6"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""3cff0238e9827ea8937e6bcbb0a6cc3e2cc5e5ea7ba7597bacb353d3de745bbe""]",0.0,0.0,,,,"Helix AI Engineer, Localization and Mapping","Helix AI Engineer, Localization and Mapping | State Estimation Engineer - Data Collection Systems | Helix AI Engineer, Generative AI | Helix Data Creator | Manufacturing Software Test Engineer","Helix AI Engineer, Localization and Mapping | State Estimation Engineer - Data Collection Systems | AI Training Infrastructure Engineer – Humanoid Whole Body Control | Demand Planner | Connector & Interconnect Design Engineer","Helix AI Engineer, Localization and Mapping | State Estimation Engineer - Data Collection Systems | Helix Data Creator | Lead, Data Operations Global Expansion | Software Engineer, Privacy & Data Governance","Helix AI Engineer, Localization and Mapping | State Estimation Engineer - Data Collection Systems | Helix AI Engineer, Pretraining | Helix AI Engineer, Modeling | Helix AI Engineer, Perception"
official-08-1,"Helix AI Engineer, Modeling","{""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"": 3}","[""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""c1c05a8ba13a2926c42f725703c98fe23d061fca1b941341c82c68fd09fc1527"", ""02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448""]","[""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46"", ""0a8ae0080aed861331479e76665c99325ed73c480103a34202fab31735988354"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448""]","[""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974"", ""c1c05a8ba13a2926c42f725703c98fe23d061fca1b941341c82c68fd09fc1527"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448""]","[""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""66a4c6d7e0904dd601e4054abef7eee96e6301da500323e2300ed9648b004074"", ""02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974"", ""c1c05a8ba13a2926c42f725703c98fe23d061fca1b941341c82c68fd09fc1527""]",0.0,0.0,,,,"Helix AI Engineer, Modeling","Helix AI Engineer, Modeling | Helix AI Engineer, Generative AI | Helix AI Engineer, Reinforcement Learning | Helix AI Engineer, Video Pretraining | Helix AI Engineer, Pretraining","Helix AI Engineer, Modeling | Helix AI Engineer, Generative AI | Helix AI Engineer, Localization and Mapping | Helix AI Engineer, Robot Learning | Helix AI Engineer, Pretraining","Helix AI Engineer, Modeling | Helix AI Engineer, Generative AI | Helix AI Engineer, Video Pretraining | Helix AI Engineer, Reinforcement Learning | Helix AI Engineer, Pretraining","Helix AI Engineer, Modeling | Helix AI Engineer, Generative AI | Helix AI Engineer, Training Performance | Helix AI Engineer, Video Pretraining | Helix AI Engineer, Reinforcement Learning"
official-08-2,"Design and develop model architectures for perception, reasoning, and action across multimodal inputs (e.g., vision, language, proprioception)","{""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"": 3}","[""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974"", ""3cff0238e9827ea8937e6bcbb0a6cc3e2cc5e5ea7ba7597bacb353d3de745bbe""]","[""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""3cff0238e9827ea8937e6bcbb0a6cc3e2cc5e5ea7ba7597bacb353d3de745bbe""]","[""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""3cff0238e9827ea8937e6bcbb0a6cc3e2cc5e5ea7ba7597bacb353d3de745bbe""]","[""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974"", ""c1c05a8ba13a2926c42f725703c98fe23d061fca1b941341c82c68fd09fc1527""]",0.0,0.0,,,,"Helix AI Engineer, Modeling","Helix AI Engineer, Modeling | Helix AI Engineer, Pretraining | Helix AI Engineer, Generative AI | Helix AI Engineer, Video Pretraining | Helix AI Engineer, Perception","Helix AI Engineer, Modeling | Helix AI Engineer, Pretraining | Helix AI Engineer, Video Pretraining | Helix AI Engineer, Generative AI | Helix AI Engineer, Perception","Helix AI Engineer, Modeling | Helix AI Engineer, Pretraining | Helix AI Engineer, Video Pretraining | Helix AI Engineer, Generative AI | Helix AI Engineer, Perception","Helix AI Engineer, Modeling | Helix AI Engineer, Pretraining | Helix AI Engineer, Generative AI | Helix AI Engineer, Video Pretraining | Helix AI Engineer, Reinforcement Learning"
official-08-3,"Experience designing and training deep learning models for vision, language, or multimodal systems","{""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"": 3}","[""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974"", ""66a4c6d7e0904dd601e4054abef7eee96e6301da500323e2300ed9648b004074""]","[""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""0a8ae0080aed861331479e76665c99325ed73c480103a34202fab31735988354""]","[""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974"", ""0a8ae0080aed861331479e76665c99325ed73c480103a34202fab31735988354""]","[""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974"", ""b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46""]",0.0,0.0,,,,"Helix AI Engineer, Modeling","Helix AI Engineer, Modeling | Helix AI Engineer, Generative AI | Helix AI Engineer, Pretraining | Helix AI Engineer, Video Pretraining | Helix AI Engineer, Training Performance","Helix AI Engineer, Modeling | Helix AI Engineer, Pretraining | Helix AI Engineer, Video Pretraining | Helix AI Engineer, Generative AI | Helix AI Engineer, Robot Learning","Helix AI Engineer, Modeling | Helix AI Engineer, Pretraining | Helix AI Engineer, Generative AI | Helix AI Engineer, Video Pretraining | Helix AI Engineer, Robot Learning","Helix AI Engineer, Modeling | Helix AI Engineer, Pretraining | Helix AI Engineer, Generative AI | Helix AI Engineer, Video Pretraining | Helix AI Engineer, Localization and Mapping"
